,Start Date
CRB CMDT Index,1981-05-26
LUACTRUU Index,1973-01-31
LUATTRUU Index,1973-01-31
M01VUS0$ Index,2010-05-25
M1US000G Index,1974-12-31
RTY Index,1978-12-29
SPGSCI Index,1970-01-02
SPX Index,1927-12-30
USGB030D Index,1999-09-23
